Student_ID,study_hours,attendance,group_discussion,previous_test_score,final_exam_pass
STU1005,7.2,100.0,Yes,85.0,Fail
STU1118,8.2,75.3,Yes,74.2,Pass
STU1113,6.6,74.5,No,65.5,Fail
STU1105,9.4,91.4,Yes,76.3,Fail
STU1032,1.0,82.0,Yes,55.1,Fail
STU1025,4.5,85.8,Yes,60.2,Fail
STU1111,7.8,55.6,No,79.9,Fail
STU1063,10.8,97.5,Yes,98.0,Pass
STU1017,18.3,70.3,Yes,90.1,Pass
STU1036,8.8,80.4,No,73.4,Fail
STU1034,6.7,51.7,No,53.6,Fail
STU1009,14.6,84.6,Yes,94.1,Pass
STU1006,16.1,74.2,No,89.1,Pass
STU1001,5.2,74.1,Yes,77.3,Fail
STU1014,6.9,82.5,Yes,69.0,Pass
STU1078,9.0,76.4,No,54.7,Pass
STU1088,4.6,65.2,No,48.7,Fail
STU1052,5.3,76.9,Yes,57.9,Fail
STU1095,8.2,68.6,No,69.6,Fail
STU1073,14.1,80.8,Yes,95.9,Pass
STU1030,6.1,80.0,Yes,58.2,Pass
STU1086,5.2,75.1,Yes,53.3,Pass
STU1066,12.7,45.0,Yes,66.9,Fail
STU1057,13.1,82.3,No,67.7,Fail
STU1054,6.3,79.0,Yes,79.9,Pass
STU1029,8.9,74.6,No,88.6,Pass
STU1039,6.0,97.3,No,62.6,Pass
STU1020,11.0,73.0,Yes,98.0,Pass
STU1106,9.6,58.1,No,70.7,Fail
STU1064,4.2,73.0,Yes,55.4,Fail
STU1024,14.2,82.7,No,95.5,Pass
STU1010,6.0,70.1,Yes,67.2,Pass
STU1120,1.4,75.2,No,64.8,Fail
STU1094,14.2,58.2,No,98.0,Pass
STU1100,8.0,78.1,Yes,56.8,Fail
STU1080,3.1,74.9,No,52.8,Fail
STU1046,9.5,65.4,Yes,66.1,Pass
STU1075,1.0,80.8,Yes,50.5,Fail
STU1060,13.8,80.0,Yes,93.5,Pass
STU1022,15.5,79.8,No,80.8,Pass
STU1061,6.4,79.3,Yes,67.0,Pass
STU1043,7.9,79.9,Yes,81.2,Pass
STU1101,12.1,60.4,Yes,98.0,Pass
STU1072,6.2,77.6,No,72.2,Pass
STU1117,4.0,92.5,Yes,61.1,Pass
STU1042,2.6,75.3,Yes,45.2,Fail
STU1045,10.9,87.3,Yes,70.8,Pass
STU1112,14.5,88.6,Yes,95.7,Pass
STU1115,13.6,82.5,Yes,76.9,Pass
STU1071,11.4,80.5,Yes,84.3,Pass
STU1013,15.5,67.4,Yes,90.1,Pass
STU1096,13.6,100.0,Yes,84.0,Pass
STU1021,12.4,66.5,Yes,64.9,Fail
STU1051,4.3,63.3,Yes,61.3,Fail
STU1116,10.6,71.9,Yes,73.2,Pass
STU1038,12.3,70.6,No,87.3,Pass
STU1044,11.8,87.9,No,72.7,Pass
STU1002,13.5,70.3,No,68.3,Pass
STU1089,17.8,76.7,No,98.0,Fail
STU1055,9.6,83.6,No,74.2,Pass
STU1012,9.1,62.6,No,86.3,Pass
STU1091,14.1,86.1,No,83.4,Pass
STU1090,10.2,81.9,No,91.8,Fail
STU1015,7.7,88.7,Yes,65.6,Pass
STU1007,1.0,89.4,Yes,35.7,Fail
STU1027,13.1,84.4,Yes,80.0,Pass
STU1102,1.6,70.3,Yes,55.4,Fail
STU1031,8.5,81.6,Yes,79.6,Pass
STU1083,16.1,100.0,No,84.5,Pass
STU1016,7.8,82.5,Yes,64.2,Pass
STU1019,13.5,99.3,Yes,84.8,Pass
STU1023,5.8,95.7,No,62.4,Fail
STU1011,6.8,64.0,Yes,56.1,Pass
STU1059,15.5,72.5,Yes,91.5,Pass
STU1082,6.7,69.6,Yes,43.0,Fail
STU1076,13.7,45.0,No,83.8,Pass
STU1065,15.2,70.3,No,84.2,Pass
STU1070,10.3,83.5,Yes,74.6,Fail
STU1004,3.5,88.5,No,53.5,Pass
STU1041,6.3,78.3,Yes,71.9,Pass
STU1077,7.9,74.2,No,78.2,Pass
STU1035,13.2,63.7,Yes,96.9,Pass
STU1028,3.8,99.6,Yes,65.9,Pass
STU1053,16.5,67.6,Yes,98.0,Pass
STU1008,7.8,85.0,No,71.0,Fail
STU1049,13.4,79.1,Yes,81.9,Pass
STU1062,12.7,98.4,Yes,94.2,Pass
STU1108,2.1,58.8,Yes,52.7,Fail
STU1092,4.4,86.1,Yes,65.7,Pass
STU1119,17.3,86.3,No,98.0,Pass
STU1040,10.6,76.0,No,80.1,Pass
STU1085,8.2,77.9,No,62.9,Fail
STU1003,10.6,79.7,No,72.2,Pass
STU1068,8.6,64.3,Yes,81.7,Pass
STU1056,13.8,98.6,No,88.9,Pass
STU1050,18.5,74.2,No,98.0,Pass
STU1069,4.7,73.0,No,40.6,Fail
STU1081,14.5,87.8,No,85.5,Pass
STU1104,19.9,72.9,Yes,98.0,Pass
STU1037,9.5,85.8,No,63.3,Fail
STU1079,6.1,73.2,Yes,73.7,Pass
STU1114,11.5,79.0,Yes,71.3,Pass
STU1026,6.9,75.0,Yes,76.0,Pass
STU1109,11.2,60.7,No,62.4,Fail
STU1047,19.1,99.3,No,98.0,Pass
STU1033,2.4,58.2,Yes,29.5,Fail
STU1074,5.1,76.2,Yes,67.3,Fail
STU1048,11.2,62.7,No,76.5,Pass
STU1097,5.2,90.5,Yes,76.6,Pass
STU1098,4.0,83.2,Yes,74.3,Fail
STU1087,6.6,76.8,Yes,64.1,Fail
STU1058,16.5,69.4,No,88.7,Pass
STU1107,10.2,65.9,Yes,88.2,Pass
STU1084,12.7,87.6,Yes,98.0,Pass
STU1018,18.2,100.0,No,98.0,Pass
STU1103,12.3,74.6,Yes,97.0,Pass
STU1099,11.0,67.3,No,77.4,Pass
STU1093,10.2,74.2,Yes,67.5,Pass
STU1067,9.7,70.3,Yes,76.5,Pass
STU1110,3.1,79.7,Yes,61.5,Fail
